Date,XLE,SPY,XLC,XLY,XLP,XLV,XLF,XLI,XLB,XLK,XLRE,XLU
2019-06-18,22.705562591552734,263.4040832519531,45.73002624511719,56.048561096191406,48.63486099243164,81.973876953125,23.957426071166992,68.35234832763672,25.06571388244629,36.4145393371582,30.0786190032959,24.281457901000977
2019-06-19,22.680078506469727,263.9986572265625,45.78609848022461,56.15180969238281,48.834049224853516,82.70989990234375,23.91362190246582,68.298828125,24.926912307739258,36.54603958129883,30.27639389038086,24.466413497924805
2019-06-20,23.182462692260742,266.5210266113281,46.075767517089844,56.54128646850586,49.26561737060547,83.07350158691406,24.01874351501465,69.44084167480469,25.243545532226562,37.0814094543457,30.458362579345703,24.62322235107422
2019-06-21,23.349985122680664,266.13360595703125,46.270591735839844,56.27947998046875,49.105899810791016,83.47246551513672,23.965038299560547,69.07075500488281,25.163259506225586,36.90608596801758,30.11786460876465,24.718467712402344
2019-06-24,23.14058494567871,265.8077087402344,46.38298034667969,55.978111267089844,49.231327056884766,83.03606414794922,23.868188858032227,68.93633270263672,25.259258270263672,36.976783752441406,29.966367721557617,24.726572036743164
2019-06-25,22.956897735595703,263.20068359375,45.52126693725586,55.441307067871094,49.20624542236328,82.69766998291016,23.788951873779297,68.41661834716797,25.272342681884766,36.29813766479492,29.5596923828125,24.576618194580078
2019-06-26,23.309572219848633,262.93817138671875,45.34330368041992,55.62024688720703,48.50377655029297,81.65573120117188,23.744930267333984,68.58684539794922,25.228713989257812,36.68930435180664,28.985557556152344,24.041641235351562
2019-06-27,23.13690948486328,263.8705139160156,45.6617546081543,55.96870040893555,48.59577560424805,82.22565460205078,23.95623016357422,68.64960479736328,25.311614990234375,36.78356170654297,29.224781036376953,24.07405662536621
2019-06-28,23.40509033203125,265.2283630371094,46.10198974609375,56.1287956237793,48.56232452392578,82.50172424316406,24.29960060119629,69.37544250488281,25.52541732788086,36.77884292602539,29.320459365844727,24.167278289794922
2019-07-01,23.427127838134766,267.6362609863281,46.47664260864258,56.62321090698242,48.85500717163086,82.91141510009766,24.590133666992188,69.43814849853516,25.721765518188477,37.36323928833008,29.264646530151367,24.106483459472656
2019-07-02,23.052417755126953,268.3332824707031,46.907508850097656,56.74565124511719,49.2815055847168,83.35668182373047,24.528507232666016,69.34855651855469,25.695587158203125,37.46220016479492,29.806882858276367,24.43476676940918
2019-07-03,23.144262313842773,270.47857666015625,47.15104675292969,57.240074157714844,49.89199447631836,84.06916046142578,24.722198486328125,69.73385620117188,25.826486587524414,37.74968338012695,30.23748016357422,24.604991912841797
2019-07-05,23.177324295043945,270.1708068847656,47.21660614013672,57.30599594116211,49.674564361572266,83.4902572631836,24.792638778686523,69.45608520507812,25.70867919921875,37.678985595703125,30.070022583007812,24.592830657958984
2019-07-08,23.21038055419922,268.68634033203125,46.795101165771484,57.37662124633789,49.741458892822266,82.86686706542969,24.669370651245117,68.88256072998047,25.41197395324707,37.39150619506836,30.181657791137695,24.629304885864258
2019-07-09,23.22875213623047,269.021240234375,47.08547592163086,57.437843322753906,49.44877243041992,82.94701385498047,24.713394165039062,68.73023986816406,25.163259506225586,37.523475646972656,30.341144561767578,24.661727905273438
2019-07-10,23.52631950378418,270.3065490722656,47.619354248046875,57.64501953125,49.766544342041016,83.23200225830078,24.625354766845703,68.56896209716797,25.11090087890625,37.82037353515625,30.50859260559082,24.718467712402344
2019-07-11,23.574079513549805,270.9403076171875,47.647464752197266,57.76274871826172,49.89199447631836,83.24982452392578,24.766218185424805,69.03490447998047,25.219985961914062,37.961769104003906,30.11786460876465,24.726572036743164
2019-07-12,23.67327308654785,272.1532897949219,47.994022369384766,58.42668914794922,50.034156799316406,82.32361602783203,24.93349838256836,70.24462890625,25.46868896484375,38.23981857299805,29.998258590698242,24.56446075439453
2019-07-15,23.460195541381836,272.2438049316406,48.00339126586914,58.615047454833984,50.15122985839844,82.50172424316406,24.792638778686523,69.9578857421875,25.48614501953125,38.367069244384766,30.038122177124023,24.661727905273438
2019-07-16,23.21038055419922,271.3656921386719,47.890995025634766,58.539703369140625,50.16794967651367,82.09208679199219,24.73100471496582,70.40593719482422,25.54723358154297,38.00889587402344,29.99028778076172,24.519878387451172
2019-07-17,22.94588279724121,269.51910400390625,47.44139862060547,57.979366302490234,50.10942077636719,82.10989379882812,24.519702911376953,68.90050506591797,25.320341110229492,37.90991973876953,29.838777542114258,24.613096237182617
2019-07-18,22.949554443359375,270.50567626953125,47.05738067626953,57.90401840209961,50.443931579589844,82.57298278808594,24.704591751098633,69.02595520019531,25.429420471191406,38.19269943237305,29.83080291748047,24.82789421081543
2019-07-19,23.05608558654785,269.0032043457031,46.44855499267578,57.52259826660156,50.12614822387695,81.71807098388672,24.598936080932617,69.40232849121094,25.48614501953125,38.02774429321289,29.34438705444336,24.46718406677246
2019-07-22,23.16262435913086,269.66387939453125,46.62651062011719,57.55555725097656,49.83344650268555,81.5488510131836,24.651763916015625,69.45608520507812,25.42069435119629,38.46603012084961,29.31249237060547,24.414499282836914
2019-07-23,23.225078582763672,271.592041015625,46.804473876953125,57.946388244628906,50.19305419921875,82.05644226074219,24.907087326049805,70.33424377441406,25.94429588317871,38.6781120300293,29.599552154541016,24.260499954223633
2019-07-24,23.324270248413086,272.868408203125,47.21660614013672,58.238338470458984,49.85854721069336,82.10099029541016,25.162410736083984,70.638916015625,25.926843643188477,38.99858474731445,29.575639724731445,24.280759811401367
2019-07-25,23.059764862060547,271.5648498535156,47.094844818115234,57.91342544555664,49.92544937133789,81.7002182006836,24.986326217651367,70.49555969238281,25.73922348022461,38.838348388671875,29.448047637939453,24.21996307373047
2019-07-26,22.942201614379883,273.38433837890625,48.4436149597168,58.1771125793457,50.485748291015625,81.99413299560547,25.259258270263672,70.34319305419922,25.769763946533203,38.923179626464844,29.543739318847656,24.309127807617188
2019-07-29,22.850364685058594,272.8864440917969,48.17198944091797,57.89459228515625,50.57773208618164,82.33251953125,25.06555938720703,70.21775817871094,25.6824951171875,38.899620056152344,29.65537452697754,24.43476676940918
2019-07-30,23.107524871826172,272.21661376953125,47.94719314575195,57.50376892089844,50.7282600402832,81.97632598876953,24.99513053894043,70.52243041992188,25.852663040161133,38.64982986450195,29.950410842895508,24.248334884643555
2019-07-31,23.0340518951416,269.2384948730469,47.56316375732422,56.84454345703125,49.69963836669922,81.16590881347656,24.871868133544922,69.73385620117188,25.45560646057129,38.06544876098633,29.83080291748047,24.13485336303711
2019-08-01,22.51238250732422,266.89404296875,47.33835983276367,56.07229232788086,49.524024963378906,81.27276611328125,24.308401107788086,68.38076782226562,25.311614990234375,37.872222900390625,29.90256690979004,24.382083892822266
2019-08-02,22.1890926361084,264.8843994140625,46.87941360473633,55.6108283996582,49.53239440917969,81.08575439453125,24.29960060119629,67.94168090820312,25.014909744262695,37.25484085083008,30.13381576538086,24.37802505493164
2019-08-05,21.527835845947266,256.91851806640625,45.362030029296875,54.118141174316406,48.24454116821289,79.179931640625,23.489608764648438,66.05990600585938,24.543670654296875,35.69960403442383,29.5596923828125,24.02947998046875
2019-08-06,21.502120971679688,260.5212097167969,46.017696380615234,54.94218063354492,48.67938995361328,80.2041015625,23.868188858032227,67.0545425415039,24.574214935302734,36.29342269897461,29.92648696899414,24.32939338684082
2019-08-07,21.34047508239746,260.6750793457031,46.07388687133789,55.163490295410156,49.2480583190918,80.23079681396484,23.551240921020508,67.0186996459961,24.914548873901367,36.519630432128906,30.205581665039062,24.39018440246582
2019-08-08,21.9539794921875,265.7896728515625,47.00117874145508,56.227684020996094,49.883628845214844,81.29949188232422,24.00025177001953,68.15674591064453,25.390148162841797,37.415077209472656,30.684024810791016,24.641462326049805
2019-08-09,21.711515426635742,263.97918701171875,46.47664260864258,55.700286865234375,49.607666015625,81.3974380493164,23.921016693115234,67.58325958251953,25.189441680908203,36.99092102050781,30.67604637145996,24.669832229614258
2019-08-12,21.454364776611328,260.7656555175781,45.98021697998047,54.89038848876953,49.27315139770508,80.60486602783203,23.46319580078125,66.65129852294922,24.796741485595703,36.50550079345703,30.652118682861328,24.621198654174805
2019-08-13,21.652740478515625,264.821044921875,46.65462112426758,55.79446029663086,49.83344650268555,81.65573120117188,23.753740310668945,67.44883728027344,25.062902450561523,37.4197883605957,30.66806983947754,24.637413024902344
2019-08-14,20.804115295410156,256.9909362792969,44.99673843383789,54.047508239746094,49.04735565185547,79.38477325439453,22.873313903808594,65.38782501220703,24.268781661987305,36.269859313964844,30.189634323120117,24.43476676940918
2019-08-15,20.675537109375,257.6698913574219,45.07167053222656,53.958045959472656,49.78327941894531,79.66085052490234,22.987777709960938,65.31613159179688,24.277511596679688,36.2038688659668,30.61225700378418,24.75088882446289
2019-08-16,20.9473876953125,261.4717712402344,45.65239715576172,54.57018280029297,50.35194396972656,80.64046478271484,23.39276695251465,66.5796127319336,24.705110549926758,36.89196014404297,30.827566146850586,24.876529693603516
2019-08-19,21.4102783203125,264.621826171875,46.3642463684082,55.257667541503906,50.853702545166016,81.41527557373047,23.630477905273438,67.20687866210938,24.901466369628906,37.45278549194336,31.10664176940918,25.03459930419922
2019-08-20,21.230262756347656,262.59417724609375,46.055145263671875,55.271785736083984,50.30176544189453,80.72061920166016,23.313526153564453,66.81260681152344,24.609119415283203,37.26426315307617,30.87540054321289,24.994062423706055
2019-08-21,21.366191864013672,264.73046875,46.233116149902344,56.33598327636719,50.435577392578125,81.31729888916016,23.419179916381836,67.22480010986328,24.735654830932617,37.702571868896484,31.00299072265625,25.160232543945312
2019-08-22,21.270673751831055,264.6490173339844,46.13008499145508,56.35011291503906,50.70317840576172,80.91655731201172,23.577651977539062,67.3233871459961,24.569849014282227,37.613014221191406,31.15449333190918,25.18454933166504
2019-08-23,20.557979583740234,257.850830078125,44.86561584472656,54.85271072387695,49.85854721069336,79.04634857177734,22.978971481323242,65.52222442626953,23.9764461517334,36.368831634521484,30.763769149780273,24.917057037353516
2019-08-26,20.64614486694336,260.7022399902344,45.540000915527344,55.39421844482422,50.477378845214844,79.87457275390625,23.199073791503906,66.0061264038086,24.054975509643555,36.87310028076172,31.050832748413086,25.204814910888672
2019-08-27,20.517562866210938,259.67938232421875,45.624305725097656,55.12111282348633,50.3352165222168,79.40260314941406,23.058210372924805,65.66559600830078,24.072423934936523,36.81655502319336,30.947168350219727,25.2493953704834
2019-08-28,20.811466217041016,261.5079345703125,45.7366943359375,55.808597564697266,50.820255279541016,79.98146057128906,23.269506454467773,66.47208404541016,24.260053634643555,36.849544525146484,31.034873962402344,25.180498123168945
2019-08-29,21.11638069152832,264.8481750488281,46.44855499267578,56.646759033203125,50.845340728759766,80.58705139160156,23.62167739868164,67.61014556884766,24.569849014282227,37.490482330322266,31.258150100708008,25.354772567749023
2019-08-30,21.11638069152832,264.73046875,46.39234161376953,56.3077278137207,50.7784423828125,80.68498992919922,23.700910568237305,67.8879165649414,24.735654830932617,37.48105239868164,31.266130447387695,25.36287498474121
2019-09-03,21.01351547241211,263.1825866699219,45.93339538574219,56.07699203491211,51.07114028930664,80.21299743652344,23.454397201538086,66.9649429321289,24.539306640625,37.023902893066406,31.712671279907227,25.812744140625
2019-09-04,21.307411193847656,266.1698303222656,46.82320022583008,56.632633209228516,51.53109359741211,80.26642608642578,23.683300018310547,67.81621551513672,24.840373992919922,37.655426025390625,31.975812911987305,25.83705711364746
2019-09-05,21.571922302246094,269.59149169921875,47.619354248046875,57.71565246582031,51.213294982910156,81.05902099609375,24.167526245117188,69.03490447998047,24.8796443939209,38.44247055053711,31.69672203063965,25.557415008544922
2019-09-06,21.685802459716797,269.7996826171875,47.516334533691406,57.85692596435547,51.38056182861328,81.28168487548828,24.15873146057129,69.17828369140625,24.975643157958984,38.409488677978516,31.736591339111328,25.456090927124023
2019-09-09,22.119298934936523,269.93548583984375,47.66619110107422,58.0782356262207,51.26348114013672,80.5335922241211,24.528507232666016,69.38438415527344,24.844738006591797,38.122005462646484,31.49736785888672,25.33045196533203
2019-09-10,22.380128860473633,269.8721008300781,47.73176574707031,57.847503662109375,50.9456901550293,80.76513671875,24.616552352905273,70.02059936523438,25.089082717895508,37.92877960205078,31.034873962402344,25.36287498474121
